country,latitude,longitude,soil_ph,organic_carbon,sand,silt,clay,nitrogen
India,8.75,77.25,5.49,1.02,39.0,24.0,37.0,1.9
India,8.75,77.75,6.4,0.83,49.0,24.0,27.0,2.35
India,9.25,76.75,5.49,1.02,39.0,24.0,37.0,0.0
India,9.25,77.25,5.49,1.02,39.0,24.0,37.0,3.2
India,9.25,77.75,7.9,0.76,17.0,29.0,54.0,1.48
India,9.25,78.25,6.4,0.83,49.0,24.0,27.0,1.26
India,9.75,76.75,5.49,1.02,39.0,24.0,37.0,2.7
India,9.75,77.25,5.49,1.02,39.0,24.0,37.0,2.7
India,9.75,77.75,7.9,0.76,17.0,29.0,54.0,3.12
India,9.75,78.25,6.4,0.83,49.0,24.0,27.0,1.2
India,9.75,78.75,6.4,0.83,49.0,24.0,27.0,1.3
India,10.25,76.75,4.8,0.87,51.0,24.0,25.0,1.9
India,10.25,77.25,5.0,2.16,39.0,25.0,36.0,2.75
India,10.25,77.75,6.4,0.83,49.0,24.0,27.0,1.2
India,10.25,78.25,6.4,0.83,49.0,24.0,27.0,1.55
India,10.25,78.75,6.4,0.83,49.0,24.0,27.0,1.3
India,10.75,76.25,5.49,1.02,39.0,24.0,37.0,1.66
India,10.75,76.75,5.49,1.02,39.0,24.0,37.0,1.66
India,10.75,77.25,6.8,1.23,23.0,24.0,53.0,1.4
India,10.75,77.75,6.4,0.83,49.0,24.0,27.0,1.2
India,10.75,78.25,6.4,0.83,49.0,24.0,27.0,1.15
India,10.75,78.75,6.4,0.83,49.0,24.0,27.0,1.2
India,10.75,79.25,7.0,0.86,45.0,32.0,23.0,1.23
India,11.25,76.25,4.8,0.87,51.0,24.0,25.0,1.9
India,11.25,76.75,7.6,1.41,43.0,30.0,27.0,2.51
India,11.25,77.25,6.4,0.83,49.0,24.0,27.0,0.0
India,11.25,77.75,6.4,0.83,49.0,24.0,27.0,0.9
India,11.25,78.25,6.4,0.83,49.0,24.0,27.0,1.2
India,11.25,78.75,6.4,0.83,49.0,24.0,27.0,1.36
India,11.25,79.25,6.8,1.23,23.0,24.0,53.0,1.26
India,11.75,75.75,4.8,0.87,51.0,24.0,25.0,3.0
India,11.75,76.25,6.2,0.8,52.0,20.0,28.0,3.0
India,11.75,76.75,6.4,0.83,49.0,24.0,27.0,2.04
India,11.75,77.25,6.4,0.83,49.0,24.0,27.0,1.21
India,11.75,77.75,6.4,0.83,49.0,24.0,27.0,1.4
India,11.75,78.25,6.4,0.83,49.0,24.0,27.0,1.28
India,11.75,78.75,6.4,0.83,49.0,24.0,27.0,1.4
India,11.75,79.25,6.4,0.83,49.0,24.0,27.0,1.2
India,12.25,75.75,6.2,0.8,52.0,20.0,28.0,2.24
India,12.25,76.25,6.4,0.83,49.0,24.0,27.0,1.8
India,12.25,76.75,6.4,0.83,49.0,24.0,27.0,1.1
India,12.25,77.25,6.4,0.83,49.0,24.0,27.0,1.0
India,12.25,77.75,6.4,0.83,49.0,24.0,27.0,1.5
India,12.25,78.25,6.4,0.83,49.0,24.0,27.0,1.31
India,12.25,78.75,6.4,0.83,49.0,24.0,27.0,1.4
India,12.25,79.25,6.4,0.83,49.0,24.0,27.0,1.1
India,12.25,79.75,6.4,0.83,49.0,24.0,27.0,1.33
India,12.75,75.25,5.49,1.02,39.0,24.0,37.0,1.8
India,12.75,75.75,6.2,0.8,52.0,20.0,28.0,1.88
India,12.75,76.25,6.4,0.83,49.0,24.0,27.0,1.2
India,12.75,76.75,6.4,0.83,49.0,24.0,27.0,1.0
India,12.75,77.25,6.4,0.83,49.0,24.0,27.0,1.3
India,12.75,77.75,6.4,0.83,49.0,24.0,27.0,1.35
India,12.75,78.25,6.4,0.83,49.0,24.0,27.0,1.08
India,12.75,78.75,6.4,0.83,49.0,24.0,27.0,1.1
India,12.75,79.25,6.4,0.83,49.0,24.0,27.0,2.27
India,12.75,79.75,6.4,0.83,49.0,24.0,27.0,1.15
India,13.25,75.25,4.8,0.87,51.0,24.0,25.0,2.44
India,13.25,75.75,6.2,0.8,52.0,20.0,28.0,2.41
India,13.25,76.25,6.4,0.83,49.0,24.0,27.0,1.2
