country,crop,price_element,year,month,unit,price,flag,source,source_url
India,Agriculture,,2020.0,Annual value,,113.36,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Agriculture,,2021.0,Annual value,,131.66,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Agriculture,,2022.0,Annual value,,139.83,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Agriculture,,2023.0,Annual value,,142.39,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Agriculture,,2024.0,Annual value,,150.97,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Agriculture,,2025.0,Annual value,,158.59,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,2020.0,Annual value,,105.78,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,2021.0,Annual value,,128.44,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,2022.0,Annual value,,138.17,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,2023.0,Annual value,,141.32,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,2024.0,Annual value,,147.18,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,2025.0,Annual value,,153.04,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,,2020.0,Annual value,,109.5,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,,2021.0,Annual value,,127.86,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,,2022.0,Annual value,,137.09,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,,2023.0,Annual value,,141.04,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,,2024.0,Annual value,,149.59,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apples,,2025.0,Annual value,,158.13,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apricots,,2020.0,Annual value,,110.62,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apricots,,2021.0,Annual value,,134.95,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apricots,,2022.0,Annual value,,139.88,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apricots,,2023.0,Annual value,,143.7,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apricots,,2024.0,Annual value,,152.88,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Apricots,,2025.0,Annual value,,162.07,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
India,Areca nuts,,2020.0,Annual value,,130.1,E,FAOSTAT,https://www.fao.org/faostat/en/#data/PP
