country,crop,year,area_harvested_ha,production_tonnes,yield_hg_per_ha
India,"Almonds, in shell",2011,23000.0,14000.0,608.7
India,"Almonds, in shell",2012,22000.0,4000.0,181.8
India,"Almonds, in shell",2013,21000.0,9000.0,428.6
India,"Almonds, in shell",2014,21000.0,13000.0,619.0
India,"Almonds, in shell",2015,21000.0,10000.0,476.2
India,"Almonds, in shell",2016,11685.0,7933.0,678.9
India,"Almonds, in shell",2017,12075.0,7061.0,584.8
India,"Almonds, in shell",2018,10584.0,13688.0,1293.3
India,"Almonds, in shell",2019,10432.0,10967.0,1051.3
India,"Almonds, in shell",2020,8954.0,10874.0,1214.4
India,"Almonds, in shell",2021,10156.0,11282.0,1110.9
India,"Almonds, in shell",2022,10282.0,12046.0,1171.6
India,"Almonds, in shell",2023,9944.0,12455.0,1252.5
India,"Almonds, in shell",2024,9680.0,12345.47,1275.3
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,787680.0,449600.0,570.8
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,1099600.0,901600.0,819.9
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2012,1252000.0,1070000.0,854.6
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2013,1237000.0,1061000.0,857.7
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,1360190.0,897620.0,659.9
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2015,1482000.0,1008000.0,680.2
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2016,1465550.0,1217610.0,830.8
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2017,1546000.0,1529000.0,989.0
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,1564000.0,1503000.0,961.0
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,1587000.0,1448000.0,912.4
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,1888000.0,1753000.0,928.5
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,1826000.0,1823000.0,998.4
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,1487207.0,1406040.0,945.4
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,1736508.0,1703183.0,980.8
India,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2024,2122427.0,2107138.0,992.8
India,Apples,2010,282900.0,1777200.0,6282.1
India,Apples,2011,289100.0,2891000.0,10000.0
India,Apples,2012,321900.0,2203400.0,6845.0
India,Apples,2013,312000.0,1915000.0,6137.8
India,Apples,2014,313040.0,2497680.0,7978.8
India,Apples,2015,319000.0,2134000.0,6689.7
India,Apples,2016,277000.0,2521000.0,9101.1
India,Apples,2017,305000.0,2265000.0,7426.2
India,Apples,2018,301000.0,2327000.0,7730.9
India,Apples,2019,308000.0,2316000.0,7519.5
India,Apples,2020,310000.0,2814000.0,9077.4
India,Apples,2021,313000.0,2276000.0,7271.6
India,Apples,2022,315000.0,2589000.0,8219.0
India,Apples,2023,304000.0,2876000.0,9460.5
India,Apples,2024,304130.0,2625899.0,8634.1
India,Apricots,2010,4826.0,13644.71,2827.5
India,Apricots,2011,4924.0,13929.03,2828.7
India,Apricots,2012,5000.0,14149.27,2829.9
India,Apricots,2013,5000.0,14155.16,2831.0
India,Apricots,2014,5000.0,14115.7,2823.1
India,Apricots,2015,5014.0,14113.22,2814.7
India,Apricots,2016,5419.0,15274.89,2818.9
India,Apricots,2017,5496.0,15531.76,2826.0
India,Apricots,2018,5603.0,15832.74,2825.9
India,Apricots,2019,5709.0,16133.71,2825.8
India,Apricots,2020,5603.0,15832.74,2825.9
India,Apricots,2021,5638.0,15933.06,2825.9
India,Apricots,2022,5650.0,15966.5,2825.9
