country,latitude,longitude,crop,planting_start_day,planting_end_day,harvest_start_day,harvest_end_day,planting_start_month,planting_end_month,harvest_start_month,harvest_end_month
India,30.750001271565758,77.25001271565755,Barley,92.0,147.0,197.0,224.0,4,5,7.0,8.0
India,30.750001271565758,77.75001271565755,Barley,246.0,280.0,8.0,63.0,9,10,1.0,3.0
India,31.250001271565758,77.75001271565755,Barley,246.0,280.0,8.0,63.0,9,10,1.0,3.0
India,31.250001271565758,78.25001271565755,Barley,92.0,147.0,197.0,224.0,4,5,7.0,8.0
India,31.250001271565758,78.75001271565755,Barley,92.0,147.0,197.0,224.0,4,5,7.0,8.0
India,31.750001271565758,78.25001271565755,Barley,92.0,147.0,197.0,224.0,4,5,7.0,8.0
India,24.25000063578288,68.75001271565755,Barley Winter,283.0,324.0,70.0,120.0,10,11,3.0,4.0
India,24.25000063578288,69.25001271565755,Barley Winter,283.0,324.0,70.0,120.0,10,11,3.0,4.0
India,25.75000063578288,70.25001271565755,Barley Winter,283.0,324.0,70.0,120.0,10,11,3.0,4.0
India,34.75000127156576,74.25001271565755,Barley Winter,283.0,324.0,70.0,120.0,10,11,3.0,4.0
India,34.75000127156576,76.75001271565755,Barley Winter,283.0,324.0,70.0,120.0,10,11,3.0,4.0
India,8.25000031789144,77.75001271565755,Cotton,15.0,84.0,148.0,224.0,1,3,5.0,8.0
India,8.75000031789144,77.25001271565755,Cotton,15.0,84.0,148.0,224.0,1,3,5.0,8.0
India,8.75000031789144,77.75001271565755,Cotton,260.0,287.0,22.0,70.0,9,10,1.0,3.0
India,9.25000031789144,77.75001271565755,Cotton,246.0,273.0,344.0,49.0,9,9,12.0,2.0
India,9.25000031789144,78.25001271565755,Cotton,211.0,287.0,323.0,63.0,7,10,11.0,3.0
India,9.25000031789144,78.75001271565755,Cotton,211.0,287.0,323.0,63.0,7,10,11.0,3.0
India,9.75000031789144,77.25001271565755,Cotton,211.0,287.0,323.0,63.0,7,10,11.0,3.0
India,9.75000031789144,77.75001271565755,Cotton,211.0,287.0,323.0,63.0,7,10,11.0,3.0
